Distance to Opposite Side (in ticks),Limit Order Arrival Rates,Cancellation Rates,Normalized Cancellation Rate,Average Book Shape
0,0.20127450980392156,0.0,,0.0
1,3.145,3.0469934640522878,0.0024342634720965514,1251.7106299212599
2,1.926078431372549,1.6523856209150327,0.0003911172335277103,4224.783464566929
3,1.1005882352941176,1.0990522875816993,0.00019638200679048437,5596.501968503937
4,0.6688235294117647,0.6295098039215686,0.00011036363060070046,5703.96062992126
5,0.3687581699346405,0.3407843137254902,7.276419717399363e-05,4683.406496062992
6,0.2857516339869281,0.31781045751633985,8.31496645219126e-05,3822.149606299213
7,0.0707516339869281,0.06905228758169935,2.0388443725764928e-05,3386.834645669291
8,0.021111111111111112,0.05996732026143791,2.0046919227569308e-05,2991.3484251968503
9,0.051797385620915036,0.03431372549019608,1.179165026745227e-05,2910.001968503937
10,0.058758169934640524,0.10026143790849673,3.8981240180618936e-05,2572.0433070866143
11,0.08065359477124183,0.09401960784313726,3.7167120109468654e-05,2529.64468503937
12,0.12114379084967321,0.08330065359477125,2.8020716554154973e-05,2972.823818897638
13,0.09794117647058824,0.08839869281045752,2.9931325236641287e-05,2953.3838582677167
14,0.0703921568627451,0.07954248366013073,3.0164411254399822e-05,2636.964566929134
15,0.1038235294117647,0.08957516339869281,3.193977554826846e-05,2804.501968503937
16,0.09803921568627451,0.08911764705882352,3.4161877906330796e-05,2608.6870078740158
17,0.05934640522875817,0.06931372549019608,3.0805682468015186e-05,2250.0305118110236
18,0.03189542483660131,0.03810457516339869,1.8104204599493958e-05,2104.736220472441
19,0.02715686274509804,0.02483660130718954,1.251386668867095e-05,1984.726377952756
20,0.02869281045751634,0.006601307189542484,3.167718540243333e-06,2083.931102362205
21,0.00718954248366013,0.0013398692810457516,6.790723747466442e-07,1973.0875984251968
22,0.0006862745098039216,0.026830065359477125,1.5558144053392515e-05,1724.5029527559054
23,0.000588235294117647,0.011895424836601307,7.420553522279265e-06,1603.0374015748032
24,0.00065359477124183,0.0029411764705882353,1.8538026290643483e-06,1586.5639763779527
25,0.011862745098039215,0.002352941176470588,1.516710952586287e-06,1551.3444881889764
26,0.006045751633986928,0.002581699346405229,1.6372772303228934e-06,1576.8248031496064
27,0.004607843137254902,0.017875816993464053,1.127243402030291e-05,1585.7992125984251
28,0.01673202614379085,0.01696078431372549,9.395823750708196e-06,1805.140748031496
29,0.011764705882352941,0.004607843137254902,2.6588038411675394e-06,1733.0511811023623
30,0.0028431372549019606,0.0030718954248366015,2.1312955448545344e-06,1441.3277559055118
